tau_fn,iv_strength,dgp,num_data,estimator,avg_MSEearlystop,std_MSEearlystop,avg_MSEfin,std_MSEfin,avg_R2earlystop,std_R2earlystop,avg_R2fin,std_R2fin,MC_successful_runs
abs,0.6,z_image,2000,AGMM,0.022198515,0.01111434,0.014856716,0.0065192985,0.91885316,0.041650742,0.94633406,0.02415996,5
sin,0.6,z_image,2000,AGMM,0.019576395,0.009711696,0.031988733,0.019029306,0.8206519,0.0985748,0.716155,0.15799911,5
