epoch,moment_loss,tau_fn,iv_strength,dgp,num_data,estimator,run,abs_moment_loss
0,0.00919489935040474,sin,0.6,z_image,2000,AGMM,1,0.00919489935040474
1,0.011248300783336163,sin,0.6,z_image,2000,AGMM,1,0.011248300783336163
2,0.009407433681190014,sin,0.6,z_image,2000,AGMM,1,0.009407433681190014
3,0.011471308767795563,sin,0.6,z_image,2000,AGMM,1,0.011471308767795563
4,0.009195524267852306,sin,0.6,z_image,2000,AGMM,1,0.009195524267852306
5,0.012855703942477703,sin,0.6,z_image,2000,AGMM,1,0.012855703942477703
6,0.010929856449365616,sin,0.6,z_image,2000,AGMM,1,0.010929856449365616
7,0.009157287888228893,sin,0.6,z_image,2000,AGMM,1,0.009157287888228893
8,0.011225520633161068,sin,0.6,z_image,2000,AGMM,1,0.011225520633161068
9,0.010673202574253082,sin,0.6,z_image,2000,AGMM,1,0.010673202574253082
10,0.010149692185223103,sin,0.6,z_image,2000,AGMM,1,0.010149692185223103
11,0.009008278138935566,sin,0.6,z_image,2000,AGMM,1,0.009008278138935566
12,0.008589356206357479,sin,0.6,z_image,2000,AGMM,1,0.008589356206357479
13,0.01558005716651678,sin,0.6,z_image,2000,AGMM,1,0.01558005716651678
14,0.009505766443908215,sin,0.6,z_image,2000,AGMM,1,0.009505766443908215
15,0.009927073493599892,sin,0.6,z_image,2000,AGMM,1,0.009927073493599892
16,0.008488442748785019,sin,0.6,z_image,2000,AGMM,1,0.008488442748785019
17,0.011706467717885971,sin,0.6,z_image,2000,AGMM,1,0.011706467717885971
18,0.010525786317884922,sin,0.6,z_image,2000,AGMM,1,0.010525786317884922
19,0.008780578151345253,sin,0.6,z_image,2000,AGMM,1,0.008780578151345253
20,0.010023889131844044,sin,0.6,z_image,2000,AGMM,1,0.010023889131844044
21,0.008461067453026772,sin,0.6,z_image,2000,AGMM,1,0.008461067453026772
22,0.008187582716345787,sin,0.6,z_image,2000,AGMM,1,0.008187582716345787
23,0.00824922975152731,sin,0.6,z_image,2000,AGMM,1,0.00824922975152731
24,0.009096890687942505,sin,0.6,z_image,2000,AGMM,1,0.009096890687942505
25,0.011692952364683151,sin,0.6,z_image,2000,AGMM,1,0.011692952364683151
26,0.009933589957654476,sin,0.6,z_image,2000,AGMM,1,0.009933589957654476
27,0.008207629434764385,sin,0.6,z_image,2000,AGMM,1,0.008207629434764385
28,0.007921755313873291,sin,0.6,z_image,2000,AGMM,1,0.007921755313873291
29,0.00829567201435566,sin,0.6,z_image,2000,AGMM,1,0.00829567201435566
30,0.009898129850625992,sin,0.6,z_image,2000,AGMM,1,0.009898129850625992
31,0.009830943308770657,sin,0.6,z_image,2000,AGMM,1,0.009830943308770657
32,0.008022508583962917,sin,0.6,z_image,2000,AGMM,1,0.008022508583962917
33,0.01029536034911871,sin,0.6,z_image,2000,AGMM,1,0.01029536034911871
34,0.006962283980101347,sin,0.6,z_image,2000,AGMM,1,0.006962283980101347
35,0.007093817926943302,sin,0.6,z_image,2000,AGMM,1,0.007093817926943302
36,0.00887785293161869,sin,0.6,z_image,2000,AGMM,1,0.00887785293161869
37,0.007069561630487442,sin,0.6,z_image,2000,AGMM,1,0.007069561630487442
38,0.011630583554506302,sin,0.6,z_image,2000,AGMM,1,0.011630583554506302
39,0.007603699341416359,sin,0.6,z_image,2000,AGMM,1,0.007603699341416359
40,0.009042318910360336,sin,0.6,z_image,2000,AGMM,1,0.009042318910360336
41,0.007917712442576885,sin,0.6,z_image,2000,AGMM,1,0.007917712442576885
42,0.007721579167991877,sin,0.6,z_image,2000,AGMM,1,0.007721579167991877
43,0.006421076133847237,sin,0.6,z_image,2000,AGMM,1,0.006421076133847237
44,0.007997785694897175,sin,0.6,z_image,2000,AGMM,1,0.007997785694897175
45,0.010717672295868397,sin,0.6,z_image,2000,AGMM,1,0.010717672295868397
46,0.009861483238637447,sin,0.6,z_image,2000,AGMM,1,0.009861483238637447
47,0.006406715605407953,sin,0.6,z_image,2000,AGMM,1,0.006406715605407953
48,0.008326604031026363,sin,0.6,z_image,2000,AGMM,1,0.008326604031026363
49,0.007049045525491238,sin,0.6,z_image,2000,AGMM,1,0.007049045525491238
50,0.009832005016505718,sin,0.6,z_image,2000,AGMM,1,0.009832005016505718
51,0.008426656015217304,sin,0.6,z_image,2000,AGMM,1,0.008426656015217304
52,0.008214972913265228,sin,0.6,z_image,2000,AGMM,1,0.008214972913265228
53,0.007975290529429913,sin,0.6,z_image,2000,AGMM,1,0.007975290529429913
54,0.006307770032435656,sin,0.6,z_image,2000,AGMM,1,0.006307770032435656
55,0.005864482838660479,sin,0.6,z_image,2000,AGMM,1,0.005864482838660479
56,0.006782905664294958,sin,0.6,z_image,2000,AGMM,1,0.006782905664294958
57,0.008048147894442081,sin,0.6,z_image,2000,AGMM,1,0.008048147894442081
58,0.008544658310711384,sin,0.6,z_image,2000,AGMM,1,0.008544658310711384
59,0.00544014573097229,sin,0.6,z_image,2000,AGMM,1,0.00544014573097229
60,0.006290892604738474,sin,0.6,z_image,2000,AGMM,1,0.006290892604738474
61,0.00745291355997324,sin,0.6,z_image,2000,AGMM,1,0.00745291355997324
62,0.00620449660345912,sin,0.6,z_image,2000,AGMM,1,0.00620449660345912
63,0.0057700080797076225,sin,0.6,z_image,2000,AGMM,1,0.0057700080797076225
64,0.008055702783167362,sin,0.6,z_image,2000,AGMM,1,0.008055702783167362
65,0.008375504054129124,sin,0.6,z_image,2000,AGMM,1,0.008375504054129124
66,0.006539578083902597,sin,0.6,z_image,2000,AGMM,1,0.006539578083902597
67,0.005334710702300072,sin,0.6,z_image,2000,AGMM,1,0.005334710702300072
68,0.005553146358579397,sin,0.6,z_image,2000,AGMM,1,0.005553146358579397
69,0.0051841274835169315,sin,0.6,z_image,2000,AGMM,1,0.0051841274835169315
70,0.005799661856144667,sin,0.6,z_image,2000,AGMM,1,0.005799661856144667
71,0.005734215024858713,sin,0.6,z_image,2000,AGMM,1,0.005734215024858713
72,0.005904070101678371,sin,0.6,z_image,2000,AGMM,1,0.005904070101678371
73,0.005215371027588844,sin,0.6,z_image,2000,AGMM,1,0.005215371027588844
74,0.008782001212239265,sin,0.6,z_image,2000,AGMM,1,0.008782001212239265
75,0.005271184723824263,sin,0.6,z_image,2000,AGMM,1,0.005271184723824263
76,0.0076061575673520565,sin,0.6,z_image,2000,AGMM,1,0.0076061575673520565
77,0.005322102922946215,sin,0.6,z_image,2000,AGMM,1,0.005322102922946215
78,0.005161411128938198,sin,0.6,z_image,2000,AGMM,1,0.005161411128938198
79,0.011143284849822521,sin,0.6,z_image,2000,AGMM,1,0.011143284849822521
80,0.010215487331151962,sin,0.6,z_image,2000,AGMM,1,0.010215487331151962
81,0.004910523071885109,sin,0.6,z_image,2000,AGMM,1,0.004910523071885109
82,0.005962965078651905,sin,0.6,z_image,2000,AGMM,1,0.005962965078651905
83,0.00506960041821003,sin,0.6,z_image,2000,AGMM,1,0.00506960041821003
84,0.008638320490717888,sin,0.6,z_image,2000,AGMM,1,0.008638320490717888
85,0.006756996735930443,sin,0.6,z_image,2000,AGMM,1,0.006756996735930443
86,0.005099090747535229,sin,0.6,z_image,2000,AGMM,1,0.005099090747535229
87,0.0066034127958118916,sin,0.6,z_image,2000,AGMM,1,0.0066034127958118916
88,0.005471463780850172,sin,0.6,z_image,2000,AGMM,1,0.005471463780850172
89,0.005481228698045015,sin,0.6,z_image,2000,AGMM,1,0.005481228698045015
90,0.005456328392028809,sin,0.6,z_image,2000,AGMM,1,0.005456328392028809
91,0.005451705772429705,sin,0.6,z_image,2000,AGMM,1,0.005451705772429705
92,0.011526388116180897,sin,0.6,z_image,2000,AGMM,1,0.011526388116180897
93,0.004714890383183956,sin,0.6,z_image,2000,AGMM,1,0.004714890383183956
94,0.008199376054108143,sin,0.6,z_image,2000,AGMM,1,0.008199376054108143
95,0.007607921026647091,sin,0.6,z_image,2000,AGMM,1,0.007607921026647091
96,0.004614231642335653,sin,0.6,z_image,2000,AGMM,1,0.004614231642335653
97,0.004371603950858116,sin,0.6,z_image,2000,AGMM,1,0.004371603950858116
98,0.005923138465732336,sin,0.6,z_image,2000,AGMM,1,0.005923138465732336
99,0.006806360557675362,sin,0.6,z_image,2000,AGMM,1,0.006806360557675362
100,0.005040423013269901,sin,0.6,z_image,2000,AGMM,1,0.005040423013269901
101,0.008756686002016068,sin,0.6,z_image,2000,AGMM,1,0.008756686002016068
102,0.004320984240621328,sin,0.6,z_image,2000,AGMM,1,0.004320984240621328
103,0.005249369889497757,sin,0.6,z_image,2000,AGMM,1,0.005249369889497757
104,0.009141365066170692,sin,0.6,z_image,2000,AGMM,1,0.009141365066170692
105,0.0073463586159050465,sin,0.6,z_image,2000,AGMM,1,0.0073463586159050465
106,0.0089552141726017,sin,0.6,z_image,2000,AGMM,1,0.0089552141726017
107,0.004490607418119907,sin,0.6,z_image,2000,AGMM,1,0.004490607418119907
108,0.005664631724357605,sin,0.6,z_image,2000,AGMM,1,0.005664631724357605
109,0.0063534388318657875,sin,0.6,z_image,2000,AGMM,1,0.0063534388318657875
110,0.005747651215642691,sin,0.6,z_image,2000,AGMM,1,0.005747651215642691
111,0.006719179451465607,sin,0.6,z_image,2000,AGMM,1,0.006719179451465607
112,0.0043723732233047485,sin,0.6,z_image,2000,AGMM,1,0.0043723732233047485
113,0.004586526658385992,sin,0.6,z_image,2000,AGMM,1,0.004586526658385992
114,0.005287735257297754,sin,0.6,z_image,2000,AGMM,1,0.005287735257297754
115,0.004574766382575035,sin,0.6,z_image,2000,AGMM,1,0.004574766382575035
116,0.00409611826762557,sin,0.6,z_image,2000,AGMM,1,0.00409611826762557
117,0.008552178740501404,sin,0.6,z_image,2000,AGMM,1,0.008552178740501404
118,0.004040904343128204,sin,0.6,z_image,2000,AGMM,1,0.004040904343128204
119,0.006524947937577963,sin,0.6,z_image,2000,AGMM,1,0.006524947937577963
120,0.010069641284644604,sin,0.6,z_image,2000,AGMM,1,0.010069641284644604
121,0.006813983898609877,sin,0.6,z_image,2000,AGMM,1,0.006813983898609877
122,0.00788069237023592,sin,0.6,z_image,2000,AGMM,1,0.00788069237023592
123,0.004220155067741871,sin,0.6,z_image,2000,AGMM,1,0.004220155067741871
124,0.00431071687489748,sin,0.6,z_image,2000,AGMM,1,0.00431071687489748
125,0.007672110106796026,sin,0.6,z_image,2000,AGMM,1,0.007672110106796026
126,0.005351315252482891,sin,0.6,z_image,2000,AGMM,1,0.005351315252482891
127,0.004766091704368591,sin,0.6,z_image,2000,AGMM,1,0.004766091704368591
128,0.0054364860989153385,sin,0.6,z_image,2000,AGMM,1,0.0054364860989153385
129,0.00599972577765584,sin,0.6,z_image,2000,AGMM,1,0.00599972577765584
130,0.006131751462817192,sin,0.6,z_image,2000,AGMM,1,0.006131751462817192
131,0.005046250764280558,sin,0.6,z_image,2000,AGMM,1,0.005046250764280558
132,0.008629687130451202,sin,0.6,z_image,2000,AGMM,1,0.008629687130451202
133,0.007259863428771496,sin,0.6,z_image,2000,AGMM,1,0.007259863428771496
134,0.005158239509910345,sin,0.6,z_image,2000,AGMM,1,0.005158239509910345
135,0.004871979355812073,sin,0.6,z_image,2000,AGMM,1,0.004871979355812073
136,0.00704553397372365,sin,0.6,z_image,2000,AGMM,1,0.00704553397372365
137,0.004563291557133198,sin,0.6,z_image,2000,AGMM,1,0.004563291557133198
138,0.003940233960747719,sin,0.6,z_image,2000,AGMM,1,0.003940233960747719
139,0.004248634912073612,sin,0.6,z_image,2000,AGMM,1,0.004248634912073612
140,0.003956509288400412,sin,0.6,z_image,2000,AGMM,1,0.003956509288400412
141,0.005046649370342493,sin,0.6,z_image,2000,AGMM,1,0.005046649370342493
142,0.003946751356124878,sin,0.6,z_image,2000,AGMM,1,0.003946751356124878
143,0.004798152483999729,sin,0.6,z_image,2000,AGMM,1,0.004798152483999729
144,0.00403546541929245,sin,0.6,z_image,2000,AGMM,1,0.00403546541929245
145,0.004941811319440603,sin,0.6,z_image,2000,AGMM,1,0.004941811319440603
146,0.004013034049421549,sin,0.6,z_image,2000,AGMM,1,0.004013034049421549
147,0.008512753993272781,sin,0.6,z_image,2000,AGMM,1,0.008512753993272781
148,0.005978738889098167,sin,0.6,z_image,2000,AGMM,1,0.005978738889098167
149,0.004738131538033485,sin,0.6,z_image,2000,AGMM,1,0.004738131538033485
150,0.005318847484886646,sin,0.6,z_image,2000,AGMM,1,0.005318847484886646
151,0.003811964765191078,sin,0.6,z_image,2000,AGMM,1,0.003811964765191078
152,0.006858564913272858,sin,0.6,z_image,2000,AGMM,1,0.006858564913272858
153,0.0054172067902982235,sin,0.6,z_image,2000,AGMM,1,0.0054172067902982235
154,0.004637259058654308,sin,0.6,z_image,2000,AGMM,1,0.004637259058654308
155,0.007236339617520571,sin,0.6,z_image,2000,AGMM,1,0.007236339617520571
156,0.005974947940558195,sin,0.6,z_image,2000,AGMM,1,0.005974947940558195
157,0.005227639805525541,sin,0.6,z_image,2000,AGMM,1,0.005227639805525541
158,0.006070449482649565,sin,0.6,z_image,2000,AGMM,1,0.006070449482649565
159,0.004346070811152458,sin,0.6,z_image,2000,AGMM,1,0.004346070811152458
160,0.004725472070276737,sin,0.6,z_image,2000,AGMM,1,0.004725472070276737
161,0.0069063203409314156,sin,0.6,z_image,2000,AGMM,1,0.0069063203409314156
162,0.003679620334878564,sin,0.6,z_image,2000,AGMM,1,0.003679620334878564
163,0.0042253839783370495,sin,0.6,z_image,2000,AGMM,1,0.0042253839783370495
164,0.007794288452714682,sin,0.6,z_image,2000,AGMM,1,0.007794288452714682
165,0.007224354427307844,sin,0.6,z_image,2000,AGMM,1,0.007224354427307844
166,0.00571455666795373,sin,0.6,z_image,2000,AGMM,1,0.00571455666795373
167,0.003966239746659994,sin,0.6,z_image,2000,AGMM,1,0.003966239746659994
168,0.004224294796586037,sin,0.6,z_image,2000,AGMM,1,0.004224294796586037
169,0.005218070466071367,sin,0.6,z_image,2000,AGMM,1,0.005218070466071367
170,0.006506911478936672,sin,0.6,z_image,2000,AGMM,1,0.006506911478936672
171,0.006745822262018919,sin,0.6,z_image,2000,AGMM,1,0.006745822262018919
172,0.006692683324217796,sin,0.6,z_image,2000,AGMM,1,0.006692683324217796
173,0.00693244393914938,sin,0.6,z_image,2000,AGMM,1,0.00693244393914938
174,0.004220813047140837,sin,0.6,z_image,2000,AGMM,1,0.004220813047140837
175,0.004114888608455658,sin,0.6,z_image,2000,AGMM,1,0.004114888608455658
176,0.0088904844596982,sin,0.6,z_image,2000,AGMM,1,0.0088904844596982
177,0.007377819623798132,sin,0.6,z_image,2000,AGMM,1,0.007377819623798132
178,0.0059540593065321445,sin,0.6,z_image,2000,AGMM,1,0.0059540593065321445
179,0.00715995766222477,sin,0.6,z_image,2000,AGMM,1,0.00715995766222477
180,0.004721414763480425,sin,0.6,z_image,2000,AGMM,1,0.004721414763480425
181,0.006103869527578354,sin,0.6,z_image,2000,AGMM,1,0.006103869527578354
182,0.007749117445200682,sin,0.6,z_image,2000,AGMM,1,0.007749117445200682
183,0.004775347653776407,sin,0.6,z_image,2000,AGMM,1,0.004775347653776407
184,0.0056618452072143555,sin,0.6,z_image,2000,AGMM,1,0.0056618452072143555
185,0.006694149691611528,sin,0.6,z_image,2000,AGMM,1,0.006694149691611528
186,0.007779350504279137,sin,0.6,z_image,2000,AGMM,1,0.007779350504279137
187,0.006664329674094915,sin,0.6,z_image,2000,AGMM,1,0.006664329674094915
188,0.005550887435674667,sin,0.6,z_image,2000,AGMM,1,0.005550887435674667
189,0.00552277360111475,sin,0.6,z_image,2000,AGMM,1,0.00552277360111475
190,0.0037628719583153725,sin,0.6,z_image,2000,AGMM,1,0.0037628719583153725
191,0.006195402704179287,sin,0.6,z_image,2000,AGMM,1,0.006195402704179287
192,0.003740874119102955,sin,0.6,z_image,2000,AGMM,1,0.003740874119102955
193,0.007270103320479393,sin,0.6,z_image,2000,AGMM,1,0.007270103320479393
194,0.005112985149025917,sin,0.6,z_image,2000,AGMM,1,0.005112985149025917
195,0.008219830691814423,sin,0.6,z_image,2000,AGMM,1,0.008219830691814423
196,0.00614094827324152,sin,0.6,z_image,2000,AGMM,1,0.00614094827324152
197,0.0054623219184577465,sin,0.6,z_image,2000,AGMM,1,0.0054623219184577465
198,0.004884278867393732,sin,0.6,z_image,2000,AGMM,1,0.004884278867393732
199,0.005921924952417612,sin,0.6,z_image,2000,AGMM,1,0.005921924952417612
0,0.009871097281575203,sin,0.6,z_image,2000,AGMM,2,0.009871097281575203
1,0.01000545546412468,sin,0.6,z_image,2000,AGMM,2,0.01000545546412468
2,0.011186492629349232,sin,0.6,z_image,2000,AGMM,2,0.011186492629349232
3,0.009627588093280792,sin,0.6,z_image,2000,AGMM,2,0.009627588093280792
4,0.010487869381904602,sin,0.6,z_image,2000,AGMM,2,0.010487869381904602
5,0.022392915561795235,sin,0.6,z_image,2000,AGMM,2,0.022392915561795235
6,0.008705156855285168,sin,0.6,z_image,2000,AGMM,2,0.008705156855285168
7,0.020509229972958565,sin,0.6,z_image,2000,AGMM,2,0.020509229972958565
8,0.008088374510407448,sin,0.6,z_image,2000,AGMM,2,0.008088374510407448
9,0.0086281169205904,sin,0.6,z_image,2000,AGMM,2,0.0086281169205904
10,0.008662390522658825,sin,0.6,z_image,2000,AGMM,2,0.008662390522658825
11,0.012576314620673656,sin,0.6,z_image,2000,AGMM,2,0.012576314620673656
12,0.008091690018773079,sin,0.6,z_image,2000,AGMM,2,0.008091690018773079
13,0.008390188217163086,sin,0.6,z_image,2000,AGMM,2,0.008390188217163086
14,0.008444000966846943,sin,0.6,z_image,2000,AGMM,2,0.008444000966846943
15,0.016632182523608208,sin,0.6,z_image,2000,AGMM,2,0.016632182523608208
16,0.009532632306218147,sin,0.6,z_image,2000,AGMM,2,0.009532632306218147
17,0.008076000027358532,sin,0.6,z_image,2000,AGMM,2,0.008076000027358532
18,0.013027847744524479,sin,0.6,z_image,2000,AGMM,2,0.013027847744524479
19,0.007343615870922804,sin,0.6,z_image,2000,AGMM,2,0.007343615870922804
20,0.0074004861526191235,sin,0.6,z_image,2000,AGMM,2,0.0074004861526191235
21,0.013544688001275063,sin,0.6,z_image,2000,AGMM,2,0.013544688001275063
22,0.007360847666859627,sin,0.6,z_image,2000,AGMM,2,0.007360847666859627
23,0.006750583648681641,sin,0.6,z_image,2000,AGMM,2,0.006750583648681641
24,0.011515572667121887,sin,0.6,z_image,2000,AGMM,2,0.011515572667121887
25,0.006554681342095137,sin,0.6,z_image,2000,AGMM,2,0.006554681342095137
26,0.016735779121518135,sin,0.6,z_image,2000,AGMM,2,0.016735779121518135
27,0.009673313237726688,sin,0.6,z_image,2000,AGMM,2,0.009673313237726688
28,0.006892192177474499,sin,0.6,z_image,2000,AGMM,2,0.006892192177474499
29,0.008042143657803535,sin,0.6,z_image,2000,AGMM,2,0.008042143657803535
30,0.009482125751674175,sin,0.6,z_image,2000,AGMM,2,0.009482125751674175
31,0.006460585165768862,sin,0.6,z_image,2000,AGMM,2,0.006460585165768862
32,0.007579266559332609,sin,0.6,z_image,2000,AGMM,2,0.007579266559332609
33,0.006431098096072674,sin,0.6,z_image,2000,AGMM,2,0.006431098096072674
34,0.023753447458148003,sin,0.6,z_image,2000,AGMM,2,0.023753447458148003
35,0.007154897321015596,sin,0.6,z_image,2000,AGMM,2,0.007154897321015596
36,0.017968157306313515,sin,0.6,z_image,2000,AGMM,2,0.017968157306313515
37,0.005786094814538956,sin,0.6,z_image,2000,AGMM,2,0.005786094814538956
38,0.03168614208698273,sin,0.6,z_image,2000,AGMM,2,0.03168614208698273
39,0.009522512555122375,sin,0.6,z_image,2000,AGMM,2,0.009522512555122375
40,0.01686154305934906,sin,0.6,z_image,2000,AGMM,2,0.01686154305934906
41,0.006174800917506218,sin,0.6,z_image,2000,AGMM,2,0.006174800917506218
42,0.004723159596323967,sin,0.6,z_image,2000,AGMM,2,0.004723159596323967
43,0.009073314256966114,sin,0.6,z_image,2000,AGMM,2,0.009073314256966114
44,0.005439039319753647,sin,0.6,z_image,2000,AGMM,2,0.005439039319753647
45,0.004982713144272566,sin,0.6,z_image,2000,AGMM,2,0.004982713144272566
46,0.009396140463650227,sin,0.6,z_image,2000,AGMM,2,0.009396140463650227
47,0.004436740651726723,sin,0.6,z_image,2000,AGMM,2,0.004436740651726723
48,0.009836386889219284,sin,0.6,z_image,2000,AGMM,2,0.009836386889219284
49,0.023216018453240395,sin,0.6,z_image,2000,AGMM,2,0.023216018453240395
50,0.004765265621244907,sin,0.6,z_image,2000,AGMM,2,0.004765265621244907
51,0.006183718331158161,sin,0.6,z_image,2000,AGMM,2,0.006183718331158161
52,0.0047073038294911385,sin,0.6,z_image,2000,AGMM,2,0.0047073038294911385
53,0.015955733135342598,sin,0.6,z_image,2000,AGMM,2,0.015955733135342598
54,0.0077247461304068565,sin,0.6,z_image,2000,AGMM,2,0.0077247461304068565
55,0.005753233563154936,sin,0.6,z_image,2000,AGMM,2,0.005753233563154936
56,0.004362535197287798,sin,0.6,z_image,2000,AGMM,2,0.004362535197287798
57,0.0046400954015553,sin,0.6,z_image,2000,AGMM,2,0.0046400954015553
58,0.00820779986679554,sin,0.6,z_image,2000,AGMM,2,0.00820779986679554
59,0.005293750204145908,sin,0.6,z_image,2000,AGMM,2,0.005293750204145908
60,0.004226841498166323,sin,0.6,z_image,2000,AGMM,2,0.004226841498166323
61,0.00385071337223053,sin,0.6,z_image,2000,AGMM,2,0.00385071337223053
62,0.008264661766588688,sin,0.6,z_image,2000,AGMM,2,0.008264661766588688
63,0.004702285397797823,sin,0.6,z_image,2000,AGMM,2,0.004702285397797823
64,0.020773284137248993,sin,0.6,z_image,2000,AGMM,2,0.020773284137248993
65,0.01493502501398325,sin,0.6,z_image,2000,AGMM,2,0.01493502501398325
66,0.01957942172884941,sin,0.6,z_image,2000,AGMM,2,0.01957942172884941
67,0.00885627418756485,sin,0.6,z_image,2000,AGMM,2,0.00885627418756485
68,0.004016179125756025,sin,0.6,z_image,2000,AGMM,2,0.004016179125756025
69,0.005500897765159607,sin,0.6,z_image,2000,AGMM,2,0.005500897765159607
70,0.0067932335659861565,sin,0.6,z_image,2000,AGMM,2,0.0067932335659861565
71,0.00789849366992712,sin,0.6,z_image,2000,AGMM,2,0.00789849366992712
72,0.004839075729250908,sin,0.6,z_image,2000,AGMM,2,0.004839075729250908
73,0.018012210726737976,sin,0.6,z_image,2000,AGMM,2,0.018012210726737976
74,0.007945412769913673,sin,0.6,z_image,2000,AGMM,2,0.007945412769913673
