tau_fn,iv_strength,dgp,num_data,estimator,epoch,avg_moment_loss,std_moment_loss,avg_abs_moment_loss,std_abs_moment_loss,MC_runs
abs,0.6,z_image,2000,AGMM,0,0.07972311191260814,0.09824023629343746,0.07972311191260814,0.09824023629343746,5
abs,0.6,z_image,2000,AGMM,1,0.03654930721968412,0.02667225757494405,0.03654930721968412,0.02667225757494405,5
abs,0.6,z_image,2000,AGMM,2,0.023953071609139443,0.005995052393291687,0.023953071609139443,0.005995052393291687,5
abs,0.6,z_image,2000,AGMM,3,0.01990870535373688,0.0055496287694893195,0.01990870535373688,0.0055496287694893195,5
abs,0.6,z_image,2000,AGMM,4,0.019471452571451664,0.0071950977686400545,0.019471452571451664,0.0071950977686400545,5
abs,0.6,z_image,2000,AGMM,5,0.0180497070774436,0.005450905175851959,0.0180497070774436,0.005450905175851959,5
abs,0.6,z_image,2000,AGMM,6,0.01732636671513319,0.005064581676633003,0.01732636671513319,0.005064581676633003,5
abs,0.6,z_image,2000,AGMM,7,0.019641493633389472,0.007234994335901646,0.019641493633389472,0.007234994335901646,5
abs,0.6,z_image,2000,AGMM,8,0.018458359688520432,0.006090227752956697,0.018458359688520432,0.006090227752956697,5
abs,0.6,z_image,2000,AGMM,9,0.01758260130882263,0.005828005620900508,0.01758260130882263,0.005828005620900508,5
abs,0.6,z_image,2000,AGMM,10,0.015795479901134966,0.004983967541950753,0.015795479901134966,0.004983967541950753,5
abs,0.6,z_image,2000,AGMM,11,0.015838603675365447,0.005060629789461977,0.015838603675365447,0.005060629789461977,5
abs,0.6,z_image,2000,AGMM,12,0.0160068666562438,0.004797048351984029,0.0160068666562438,0.004797048351984029,5
abs,0.6,z_image,2000,AGMM,13,0.015130692720413208,0.004930120319031538,0.015130692720413208,0.004930120319031538,5
abs,0.6,z_image,2000,AGMM,14,0.01554027572274208,0.006272659161065742,0.01554027572274208,0.006272659161065742,5
abs,0.6,z_image,2000,AGMM,15,0.015057043358683585,0.004518828333892472,0.015057043358683585,0.004518828333892472,5
abs,0.6,z_image,2000,AGMM,16,0.013787804823368787,0.004257622109135959,0.013787804823368787,0.004257622109135959,5
abs,0.6,z_image,2000,AGMM,17,0.013561556115746498,0.004786667858243458,0.013561556115746498,0.004786667858243458,5
abs,0.6,z_image,2000,AGMM,18,0.011423533130437136,0.005050356364817227,0.011423533130437136,0.005050356364817227,5
abs,0.6,z_image,2000,AGMM,19,0.01110535291954875,0.005060964948088758,0.01110535291954875,0.005060964948088758,5
abs,0.6,z_image,2000,AGMM,20,0.011249211337417363,0.006231474796466436,0.011249211337417363,0.006231474796466436,5
abs,0.6,z_image,2000,AGMM,21,0.011002337839454413,0.005256376378744543,0.011002337839454413,0.005256376378744543,5
abs,0.6,z_image,2000,AGMM,22,0.010401362180709839,0.0030375037891628037,0.010401362180709839,0.0030375037891628037,5
abs,0.6,z_image,2000,AGMM,23,0.009645290113985539,0.005384165258368021,0.009645290113985539,0.005384165258368021,5
abs,0.6,z_image,2000,AGMM,24,0.012844291562214494,0.007878805826267623,0.012844291562214494,0.007878805826267623,5
abs,0.6,z_image,2000,AGMM,25,0.009687320096418262,0.007139351143829003,0.009687320096418262,0.007139351143829003,5
abs,0.6,z_image,2000,AGMM,26,0.008031054632738233,0.004224564702945441,0.008031054632738233,0.004224564702945441,5
abs,0.6,z_image,2000,AGMM,27,0.0064699044451117516,0.0032717171186641956,0.0064699044451117516,0.0032717171186641956,5
abs,0.6,z_image,2000,AGMM,28,0.0056324551464058455,0.003493170816692944,0.0056324551464058455,0.003493170816692944,5
abs,0.6,z_image,2000,AGMM,29,0.006053797947242856,0.0036187819395888656,0.006053797947242856,0.0036187819395888656,5
abs,0.6,z_image,2000,AGMM,30,0.006632269918918609,0.0036932118496557733,0.006632269918918609,0.0036932118496557733,5
abs,0.6,z_image,2000,AGMM,31,0.006091085635125637,0.0034662493184954017,0.006091085635125637,0.0034662493184954017,5
