tau_fn,iv_strength,dgp,num_data,estimator,avg_MSEearlystop,std_MSEearlystop,avg_R2fin,std_R2fin
abs,0.3,z_image,2000,AGMM,0.10090191699564457,0.10861152055019838,0.5350339889526368,0.16207344797680717
abs,0.6,z_image,2000,AGMM,0.02912434283643961,0.01780129473989614,0.9253366827964783,0.050911495774839735
abs,0.9,z_image,2000,AGMM,0.01657228646799922,0.021159923097023504,0.9734827041625976,0.0241232604016633
sin,0.3,z_image,2000,AGMM,0.0785406120121479,0.028814878105866498,-0.3890171766281128,0.21384373814475224
sin,0.6,z_image,2000,AGMM,0.029323742724955082,0.012992397220405584,0.7350589156150817,0.11220051325145562
sin,0.9,z_image,2000,AGMM,0.02193469163030386,0.011733630786372391,0.8473947286605835,0.06388984581246625
