tau_fn,iv_strength,dgp,num_data,estimator,run,R2_avg,R2_fin,MSE_avg,MSE_fin,MSE_earlystop
abs,0.6,z_image,2000,AGMM,1,0.9707813262939453,0.9694762825965881,0.00921066477894783,0.009622061625123024,0.0101939607411623
abs,0.6,z_image,2000,KernelLayerMMDGMM,1,0.9241697788238525,0.944760799407959,0.0148075632750988,0.010786707513034344,0.03240358456969261
