tau_fn,iv_strength,dgp,num_data,estimator,run,R2_avg,R2_fin,MSE_avg,MSE_fin,MSE_earlystop
abs,0.6,z_image,2000,AGMM,1,0.9143880009651184,0.9088302850723267,0.017943087965250015,0.01910790614783764,0.02131798304617405
abs,0.6,z_image,2000,AGMM,2,0.9729365706443787,0.9357214570045471,0.008125380612909794,0.01929863914847374,0.005865771789103746
abs,0.6,z_image,2000,AGMM,3,0.989251434803009,0.938707709312439,0.0034472323022782803,0.01965736784040928,0.006685672793537378
abs,0.6,z_image,2000,KernelLayerMMDGMM,1,0.973282516002655,0.9336227178573608,0.007629701867699623,0.018955344334244728,0.018408583477139473
abs,0.6,z_image,2000,KernelLayerMMDGMM,2,0.9770032167434692,0.9659258723258972,0.007201408967375755,0.010670261457562447,0.0044101630337536335
abs,0.6,z_image,2000,KernelLayerMMDGMM,3,0.9758808612823486,0.9809896349906921,0.005826464854180813,0.004592346027493477,0.017550094053149223
