tau_fn,iv_strength,dgp,num_data,estimator,run,R2_avg,R2_fin,MSE_avg,MSE_fin,MSE_earlystop
abs,0.6,z_image,2000,AGMM,1,0.9100114703178406,0.9138965606689453,0.01981940120458603,0.018963737413287163,0.021681513637304306
abs,0.6,z_image,2000,AGMM,2,0.8948017954826355,0.8566967248916626,0.024257512763142586,0.03304411470890045,0.028948400169610977
abs,0.6,z_image,2000,AGMM,3,0.9773334264755249,0.9870582818984985,0.006432678550481796,0.003672797465696931,0.038726963102817535
abs,0.6,x_image,2000,AGMM,1,-5.157858371734619,-10.38809585571289,1.019344687461853,1.8851351737976074,0.6428472995758057
abs,0.6,x_image,2000,AGMM,2,-324.7587585449219,-56.707679748535156,80.77436828613281,14.309059143066406,3.745450973510742
abs,0.6,x_image,2000,AGMM,3,-15.826484680175781,-101.04888153076172,3.0241925716400146,18.341053009033203,2.3870770931243896
sin,0.6,z_image,2000,AGMM,1,0.7644917964935303,0.8244364857673645,0.030730687081813812,0.02290869876742363,0.02299891971051693
sin,0.6,z_image,2000,AGMM,2,0.872579038143158,0.8398857712745667,0.01696537435054779,0.021318301558494568,0.013407018035650253
sin,0.6,z_image,2000,AGMM,3,0.7012568116188049,0.8283899426460266,0.03704902157187462,0.021282443776726723,0.020576927810907364
sin,0.6,x_image,2000,AGMM,1,-190463.5,-6036578.5,20875.4921875,661627.625,101.0137710571289
sin,0.6,x_image,2000,AGMM,2,-25.470401763916016,-5.120709419250488,3.1894161701202393,0.7374836802482605,1.9270039796829224
sin,0.6,x_image,2000,AGMM,3,-165082.375,-111861.4453125,18620.080078125,12617.1865234375,24.81963348388672
