tau_fn,iv_strength,dgp,num_data,estimator,MC_successful_runs,avg_MSEearlystop,std_MSEearlystop,avg_R2fin,std_R2fin
abs,0.6,z_image,2000,AGMM,3,0.011289809209605059,0.008694323566937393,0.9277531504631042,0.01645556293961752
abs,0.6,z_image,2000,KernelLayerMMDGMM,3,0.01345628018801411,0.007845917900362586,0.9601794083913168,0.02420067345121917
